username,rating,comment,date,developer_response
Berkan Köse,4,"Harika bir uygulama olmuş. MEB işi başarmış fakat tek eksik nokta bence soruları çözerken araçlar kısmındaki butonlar vs. bunlar düzeltilmeli. Başka tür yayınevlerinin Z kütüphanelerinden bakılıp, ıslah edilebilir. Onun dışında pek de bir sorun göremedim. İyi çalışmalar.",2025-03-11 04:17:09,İlginiz için teşekkür ederiz. Belirttiğiniz kalem ve silgi araçlarımızla ilgili çalışmalarımız devam etmektedir.
Emel Canbo,5,Gerçekten çok güzel düşünülmüş ve yapılmış bir uygulama gelişmeye de devam ediyor ama test çözmede kullandığımız kalemde hala biraz sıkıntı var(yatay çizgileri zor yazıyor) ama onun dışında kesinlikle dört dörtlük.,2025-03-19 06:36:25,İlginiz ve yorumunuz için teşekkür ederiz. Kalem ve silgi ile ilgili çalışmalarımız devam etmektedir.
Fatih Yavuz,5,Uygulama çok güzel hatta çıkmış soru pdfleri yayınlandı bizler için çok iyi oldu ancak deneme sınavlarındaki kalem silgi bölümü çok yetersiz silgi düzgün silmiyor kalemlerin düzeltilmesi lazım örnek olarak samsung notedaki kalem silgi gibi yapılabilir.,2025-03-11 11:15:21,İlginiz için teşekkür ederiz. Kalem ve silgi ile ilgili çalışmalarımız devam etmektedir.
Hasan Berat Kaylan,5,Çok güzel bir proje olmuş fakat tasarım açısından düşük kalmış. Web tabanlı olmuş. Web sayfasını geliştirebilirsiniz veya yerleşik bir uygulama da olabilir.,2025-03-22 18:38:08,İlginiz için teşekkür ederiz. Sizlerin geri bildirimleriyle MEBİ'yi sürekli geliştirmeye ve iyileştirmeye devam ediyoruz. Yeni arayüz hazırlama çalışmamız devam etmektedir.
Yağmur Çavak,5,Genel bağlamda çok güzel bir uygulama pdf ders notları eklenirse mükemmel olur en kısa zamanda umarım eklenir. Konu anlatımları falan da harika özet olarak ve ders kitabına paralel olarak anlatım yapılıyor. Uygulamayı indirirken tereddütlerim vardı ama şu an harika bence. Her öğrencinin telefonunda olması gereken bir uygulama reklam ve uygulama içi satın alımların olmaması da çok güzel. Genel denemeler sadece yks için değil lisenin diğer alt sınıfları için de deneme yapılsa harika olur. 😀,2025-01-22 19:04:25,İlginiz ve yorumunuz için teşekkür ederiz. YKS Hazırlık Modülündeki Kitap ve Denemelerim sayfasından konu özetlerine ulaşabilirsiniz. Uygulamamız yeni olduğu için şu an YKS denemeleri yapıyoruz. İleri ki zamanlarda önerinizi değerlendirilebiliriz.
hyrnisaa,5,"YKS'ye hazırlanan biri olarak içinde konu özetleri, değerlendirme testleri, video çözümleri, konu anlatımları, çıkmış soruları bulabiliyorum. Çok hoşuma gitti sınava kadar buradan çalışacağım cidden çok yararlı bir uygulama olmuş.",2025-03-10 15:48:42,İlginiz ve yorumunuz için teşekkür ederiz.
Muaz Akın,4,Başarılı bir uygulama olmuş özellikle sınava hazırlanan öğrenciler için harika bir uygulama ayrıca her öğrencinin ulaşabileceği bir ugulama olmasından dolayı eğitimde fırsat eşitliğide sunuyor fakat tek sıkıntısı yapay zekası geliştirilebilir bazen basit sorulara bile yanıt veremiyor onun dışında gerek konu anlatımları gerek soruları olsun gayet başarılı,2025-03-11 20:48:17,İlginiz ve yorumunuz için teşekkür ederiz. Yapay zeka ile ilgili geliştirme çalışmalarımız devam ediyor.
Erva Kaymaz,4,Uygulama guzel fakat bazen çok kasıyor. Bu konuda geliştirilmesi lazım. Ve Soru çözerken kullan dığımız silgi değiştirilmeli. çok yavaş siliyor. Onun yerine dokunduğu yeri silen daha işlevsel bir silgi olabilir. Teşekkürler. =),2025-03-02 07:47:55,İlginiz için biz teşekkür ederiz. Kalem ve silgi ile ilgili çalışmalarımız devam etmektedir.
Mehmet Yüksel,4,4 yıldıza layık. çünkü ben şuan da 10. sınıfım ve biraz daha geliştirmeleri lazım bu uygulama üzerine biraz daha düşerlerse cidden Eğitim doğrultusunda tek iyi şey olacak gibi geliyor bana. bazı kaynakları eksik ve güncel MEB kitapları yok. (2023'e kadar var. ) ve bazı konu özet kitapları açılmıyor onun dışında dershaneye gitmeyen veya online özel ders filan almayan evinde ders çalışacak olan bir yks öğrencisinin işine yaşayabilecek en değerli uygulama diyebilirim. Biraz üstüne düşerlerse mük.,2025-03-29 18:53:13,
iclal sarı,5,"Gerçekten de öğrenciler için mükemmel bir uygulama . Öncelikle derslerin tamamı mevcut , konuya hazır miyim testiyle temelden başlıyorsun sonra seni aşama aşama hazırlıyor, ayrıca bircok etkinlik var . Rehberlik bölümü ise ayrıca beni tatmin etti. Plânlarını da ekleyebiliyorsun . Uygulamanın ücretsiz olması öğrenciler için büyük bir avantaj . Kusursuz ama güncellemeler olursa harikulade olur . MEB e bu konuda tesekkurlerimi arz ediyorum 😊😊",2025-02-16 22:33:13,İlginiz ve yorumunuz için biz teşekkür ederiz.
avatar aang,4,"Uygulama gerçekten yazılılara ve özellikle üniversite sınavına çalışmak için biçilmiş kaftan. Gerek konu anlatımları gerek konuda ne kadar bilgimiz olduğunu tespit etmek için yapılan testler olsun oldukça kaliteli. İşin güzel tarafı tüm konu anlatımları tam olarak MEB in elinden çıkma olduğu için konular eksiksiz ve detaylı iletiliyor. Ortak sınavlara çalışırken de özellikle faydalı bu yüzden. Emeği geçenlere teşekkürler. Yanlız şikayetçi olduğum tek şey ""kanka"" Yapay zekası. Geliştirilmeli.",2025-01-08 09:07:05,İlginiz ve yorumunuz için teşekkür ederiz. Sizler için faydalı olduğunu duyduğumuza sevindik. Kanka ile ilgili geliştirme çalışmalarımız devam etmektedir.
Paul Sneed,5,"Gerçekten çok başarılı bir uygulama olduğunu söyleyebilirim.Konu anlatım kısımları olması gerektiği gibi kısa, öz ve o konudaki önemli yerleri veriyor.Hazırbulunuşluk testi , çıkmış sorular gibi imkanlarının olması da güzel.Uygulamayı tablet üzerinden kullandığımda kalem algısında ve silgi pratikliğinde sıkıntılar çıkarabiliyor ve bu düzeltilmeli.",2025-01-22 16:37:13,İlginiz ve yorumunuz için teşekkür ederiz. Belirttiğiniz sorun ile ilgileneceğiz.
Quezityn,2,Bilgisayar sürümü daha iyi ve sorunsuz çalışıyor. Mobil sürümde ise uygulama ve içerikleri çok geç açılıyor ve bazen uygulama siyah ekran verip hata veriyor. Umarım bu sorunu düzeltirsiniz.,2025-01-27 21:41:38,İlginiz için teşekkür ederiz. Yeni versiyonumuz yayınlanmıştır. Dilerseniz yeni versiyonumuzu kullanabilirsiniz. Tekrar aynı sorunlarla karşılaşırsanız yorumunuzu güncelleyebilir ya da bize mail gönderebilirsiniz.
Lera Taşar,5,"Baya iyi. Yazılı örnekleri,derslerin konulara göre eksiğini belirleme testleri ve video çözümleri,ders anlatımi ve oyunlarıyla mantığını anlama yerleri var. Hatta Chat gpt ye benzeyen kanka adında robotu bile.",2025-03-17 20:30:06,İlginiz ve yorumunuz için teşekkür ederiz.
Esma Nur,4,Başarılı ve faydalı bir uygulama olmuş. Sadece konu anlatım videoları biraz daha iyi olabilir. Slayt şeklinde değilde YouTubede ki hocaların anlatımları gibi olsa daha anlaşılır ve faydalı olabilir.,2025-03-10 21:04:41,
